timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:06:00.995","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.964","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.963","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.933","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.932","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.901","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.886","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.870","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.853","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.853","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.154","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:06:00.136","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:06:00.127","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:06:00.126","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:59.188","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:59.042","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:59.026","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:59.011","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.995","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.979","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.963","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.948","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.934","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:58.928","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:58.928","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.728","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:57.266","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:56.254","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:56.254","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.651","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.635","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.620","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.604","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.589","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.573","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.565","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.548","WIN-3KH74N2U82B","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.547","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.457","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.431","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.967","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.870","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.854","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.839","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.823","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.807","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.792","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.776","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.761","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.761","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.651","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.635","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.621","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.604","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.590","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.573","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.557","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.546","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.539","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.539","WIN-3KH74N2U82B","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:53.597","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:53.589","WIN-3KH74N2U82B","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:52.807","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.791","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.776","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.760","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.745","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.729","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.713","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.697","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.682","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.666","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.651","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.635","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.620","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.605","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.604","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.338","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.338","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.308","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.307","WIN-3KH74N2U82B","Registry Value Entry Added to the System","5","752"
